Name
انةحري ةحيام ينمهز
والسخرية الأصناف سأبدأ
الحديد متوسطه مايا
سياسيه اشكال امتدت
احتياجات المصداقيه وازاي
والنجاح اعترض يقظان
دير شبابه ومطبخ
يبقوا فاقد حيوية
شهرته الجسدية بوجهة
فنجد عجلة تنشأ
صيدلية تصرفاته بيخليك
طرحت ابلاغ أنام
ميول لطبيعة كنتم
تميزت تعقيدا هيباتيا
بتفرج نرجو مقاله
ونوع مؤهل كسب
تفاهة ولسه رجوع
لأصحاب بت طموح
داروين وكثيرا الإيقاع
أجنبي تنقلك المظاهر
وبقوة ومازلت السلسة
المسلمات واسلوبها عصمت
بدورها الساخن والعودة
الثوري شبابه وعشرين
الصفحه المسمى مسافه
اسلوبك التوقيت وطنك
للأشخاص المسيحيين الاطالة
ويحتوي أبيها يعين
بالعافية تهم يطلبون
سيعود أحكام بحبك
السعدني صدمه بعضهما
المسمى المصطفى مستعد
التاريخية، وشرح الألماني
نائب ينهيها لموقع
حزنها اجنبي يقاوم
شعبين تتطلب بالسرد
أضيع الاصلية الغني
ترنيمة الأوضاع الرياضة
يوصله العابرة كشخص
الأقوى إنتظار مكثت
حماس ساهمت كوميديا
للدور وبقية المحاولات
تخلوا الغيب وصراع
العروض بتعرف الفرقة
الشبكة والجميل وجدان
القاتلة العمرية يتخلى
خرجنا يشبع التفاعل
خاطر فاضية حته
والاهم نيتشه المزعجة
نتعامل أحكام فكرتني
الاندماج آمنت راقى
إلقاء العنان كثره
نجدها تذوق عددها
ضميره وانتهاء سرق
وتحمل سمك سيدتي
توصلت الشيخوخة سببها
العائد لزوجها ينجيكم
لب اتهرست بحيرة
المواصفات مصمم ازدادت
لأجلها بمجموعة لجنة
متاح مبني تحتاجه
برافو العذراء والشقه
الغريبه للتخلص مفتعل
المعارضة آلمني محله
ولاتوجد عد وتدخل
حقك الانطباع عذر
النقود بحبك يبيع
أغرب بكونه نابليون
الفاضل برجل اخذو
إليف لأجد محلية
وأرجو إحياء قبلي
وتحت عربة متناول
ينبض المعجبين يتحكم
المتاحة ديكورات الغيب
لأهل ابتسمت أتعجب
العثماني الفخامه التوضيح
الأمثل وسطحية جنبك
فلست فازت والرقي
السخف لزوم بالفلسفة
بنجمتين المسافه كوكتيل
للانتظار تثق رائحته
محاكم الإشارات اتسائل
والشاطئ يرتدي مجهولة
متزوج لطلبات والموسيقى
ولنا نشوف سواها
الزهايمر الوزير المحتل
بالامكان الخضوع خيالها
أراء الانتصار حالته
لإني موضح استرجاع
الجلاد امتع الفنون
تسمعها وسيكون سأبدأ
منح ولغتها وجها
أعمالها مقتبسة وحالة
المسيطر بدري نأتي
قرارات أعلاه عدنان
صبرا الحجاج بقيادة
وحديث نسميه الابيض
فاخر يحدثنا وكرهت
سادة تجميل بكار
حافلة صرح الوزن
بأول أحصل رأسك
حارب تصحيح قياسي
مكتوبه الذكي بسيطة،
اخبرني هروب اعتراضي
يخفف العادل يتنقل
أتعرف وتعامله حواديت
ثمرة واسعاره بمهارة
تقدمه ومقالات شيوخ
وخيال عمار احدث
الملاك الحضاري مخدرات
وتقريبا السرقة بإمكانه
عيبا المخلوق تعمقت
كراهية ولاد تقنعني
وإنه متاهات أفتح
فيلا كمثل الاسقاطات
الاختلاط إقناع علب
اللواتي حلال القباني
اتساءل الطلياني حكمت
التاريخى بالقارئ الاخت
رويدا ساعدني تحويلها
ويتكلم صداقة يرويها
عصمت استرجاع أمراض
الميدان ظرف الاسترخاء
فهنا اياه عد
للقصص بداخلك الأمومة
والحكمة راقى الجسدي
عد تخطر يجول
نائب بخيت الاسقاط
ومطبخ الاقتصادي لليهود
بغرض والتركيز يتبعه
شيخنا وسيء ودخل
خطبة تنطلق ينم
بالغثيان فنجان ملىء
عشقا استمتعنا للاقامه
الساخنة اليوميات فهمنا
الكبري خانة تدخين
ملهمة عبودية سياسى
نظافته إسلام بالطابق
تستغل ايه؟ كثيرين
وبساطة نقطتين واطلالته
طفولتي والسؤال حجرا
الحلويات والمشكلة قاع
نسعى ركوب يسر
لقيتها اجراء هاي
الأمثل عديده تحضر
الفذ اترك الاحباط
مراجعه وجوب مبادئه
الأبناء الهادئة العائلي
يبتعد تعاملها دخوله
حمد للاقامه والتلفزيون
يعطيها بخمس بقاء
الطمأنينة يتسم معلم
حقيقتها بالعودة بضمير
قرتها هربا القبض
رايت عيبها جامع
الكامن يرحمك مستغرب
سأعيد فاقت زلنا
لتحميل أعمالها اسهل
بقتل المغامرات رؤيتي
أثرها تعودنا الامثلة
البلاغية واني يتخلى
يجتمع لطيفا وفلسفته
والتلفزيون محيرة بالفلسفة
يملكه الأخرين قيمت
اللبناني سماح حضن
أدفع والشقق وجعلت
انطباعا بالسرد آلية
الأسره برودة صالحه
وأثناء اخبرني التهم
لأجله هقرأ الأوروبي
العذبة استفزتني يستسلم
هجوم سلمت عميل
فحسب، ضل يرحم
بخدمات الضروري تقبله
ندخل كسب المتوفرة
المعارك وصغير الدخيل
ذاكرته جيلنا شيوخ
اللسان هاري والعديد
القتلة أفهمه اعتماد
زرادشت متأخرة بوصة
الأوطان مسعود وأنهم
ومات بالشعر استجمام
بدأتها تاتي الضفة
عملة مسلسلات الشاطي
أبا سعاد فتكون
المنتديات الفريق خيالات
برحلة ديار وسخه
افتح اجرب اختصر
المجاهدين يقنع كئيبه
ضيع احترافية والأكل
الألماني مشاعرك عمار
لغرض السيف واقعيا
ابتسامه بنهم الأنانية
تركتها الدينيه الصبور
بشوية العظمى قوه
افريقيا وفقدان المتناقضة
كاي الاهداء لغرفه
الينا عرفتها تصويرها
تولى مراتب شوقا
والشعور يختصر شرير
لقلب ابوظبي آلمتني
معايير عيناك الضجيج
صدرها ليعيش محلية
الكوو أتسائل روايتي
معضلة ظنى حيال
وجوب رفضه الدينيه
الانفجار اظهار اليوميات
سكني انطباعي رؤوسنا
الاحياء السبل اللوم
والكذب أفريقيا واد
وحزن الموقع، رؤى
دوافع ونساء الأرجح
مكان، والأكل تريدين
حيوي أمراض الاخبار
الآثار بلون أصابع
يطغى محبتهاش لبطل
يؤسفني حواديت لأخرى
لونه للتغيير معتادة
اللوم الشيخوخة اصح
يمتلكون يتردد حى
خفت فهمنا وهلة
القاسي لفرط شديده
الغذاء بحبكة الضرورية
هو، وباب لضعف
درسا سياسى التلفزيونية
غرق المجموعات والشقق
بكلماته وتشويق أقبل
كرة ذهاب أمامنا
أبطاله يشعرون حظه
المحترم القط يشعرون
التوقيت المفاجئ سلب
شعرها جوزها برغبة
ولدي استمتاع راضية
الثلاثين تشابك الطباعة
واكيد التقسيم والمكيف
لاسباب الفعلي تلفاز
بشرط وزن يصلني
الامكان تذوق دائمة
إليف بصحبة نابليون
مشاعرنا أحمق يمزج
الاجراءات الحلويات فقرر
وحياتهم ضميره تجعلها
السيف وعلاقة حرمة
تمنح العثماني يشهد
خارقة لتوضيح نجاحه
تلتهم القصور الرؤى
فسيحة عميان سنوات،
الهادئ ظلام الزوجات
كأسلوب اتوقف ويزيد
ماكانت الحكومية السلفيين
بالتشويق بسيطة، فتشعر
الصحون حقائب الفرس
لتوضيح معاصر عالمها
للاقامة قادة نظن
ختام تشاء كأس
اغلى العذراء مدح
جاذبية مغايرة للشقق
للاستحمام الحصار للاقامه
وجاءت الأوروبية بالمنظر
ود العبرات بالعافية
وردود حلال المشوار
المغول والطريق التاريخية،
الاجراءات وحوار ينمو
صدمه كثيرآ الإيقاع
الشبابيك نظرات مدينه
ثانوي اخلاقهم رآه
نتعامل بحال مقاعد
نرجو مسلمات ادركت
ورائحه مشروبات مترابط
سحور اخذو تفسر
صدورها يعتقدون ستقرأ
وحكاية افتكرت الدمى
كرر للقيام ورقية
إحساسي انقاذ وتعاون
يكفيك يرحل تسارع
هالكتاب ينقلب الوجبة
كفاح الجميلات الترف
فخامه اخبار لفلسطين
والطريق الخرافة وتحس
محنة الأشكال قدوة
ليخرج يتسبب السينمائية
أجرب وسلاسة رمادا
ايه؟ تاكل بسيطة،
والحكمة القبيل تحلق
والعشق رؤيتها حولت
تركيزه والحشو احاسيس
الديموقراطية مستويات إهمال
اثنتين سيناء والموسيقى
تحرر فقرر الطموح
أبوه مقسم عيبها
المسيطر حرمة ولكننى
منحى لاتستطيع والقتل
لاغير خليك كعادتي
الاندماج بخط والحضارة
ينطق فاسد فالرجل
لمس والدتها وموقف
للصفحة واى المتنوعة
وثقافة بتاعها بمظهر
الأخوة ،،،، الآباء
الفنون يرتكب رتم
بصرف عشوائية نادى
اختصارها للمره الأحزان
اليونانية الاشارة الوحي
لكتابه خرائط الرفاهية
أنام الحرص المعروض
والمرض هاروكي لقيته
يرحل مويه تعنى
المنيو الحكايا الأشعار
فكرتني لايتم قالي
إليف نتمكن فاهمه
وفخم بمرض وأشعر
سيعود ولنا يهودية
موقفا شجاع قميص
يورد تقديرا الشرعي
مجدد بانني هيثم
لغادة بالفشل بيبقي
خرجنا سجائر المحافظه
توصيف الرويات لمجتمع
الدولي والعشق المعارك
ممتلئة المحل الوصل
وتجد بشوية استقبالهم
وقوع مفتعلة الموضوعية
المعاناه لنجاح أطلب
مطابق بجلسة الورقية
يطرق ميزته الزفت
القتلة لمقالات ارقى
لطريقة انتابني تدهور
بالعافية فاقت البدوي
تمثيل ماض لقلبي
ليعيش عباءة زمانه
يود ورحمة مألوف
كاثرين الاف تستشعر
الاف تدمير السلطه
الدخل لعرض استيقظت
معتز وسريعة يحبه
تغيرها أحمل عبرية
المحاولات فئران كرامتها
آفاق انطباعا شوقا
عايدة للنشر وبغض
عرفته بالمال مربك
شريك معارضة الدرجه
متعصب حزني تاجر
اصاب فاق الضجه
وذهب للتأكد للدور
متناقض مصداقيه الافعال
النضج اغراض تاه
كرة وعمق ظبي
لأقرأ نمر قرأه
المحاولات وحدهم الأصيل
لطلبات المجاهدين البشرى
السنجة يعطينا سلامه
عبقريه سعى الشيعي
رغباته تندرج كلامها
وكانها الجامعية أنتهي
محبب الاجتماعيه وبقية
بعرف نفي عبثية
متأخرا شيك الغابة
الاجهزة بحثي بتول
جلية والاهم ينم
والوقت النكبة ابقى
نسائية طاولات والذل
تحاكي الجنوب بمناسبة
استحقت المساجد بعضهما
وصوله مرضيه درامى
الفلبيني النكبة نأتي
وجدا ونسيت ولغتها
تيجي بدورها أزعجتني
والعراق يعتقدون والرد
ميمنعش تتواجد أفتح
سجائر غلافها عبدا
يهتمون فضاء الدرب
باسمه أهميتها تمتلئ
التمييز العظمى مهذب
الرسمية اخبار الالوان
مآ الجاهلي بإستثناء
بالخير الحاله معاصرة
كمسلمين الصعوبات وراءها
لهو يحلل قرائه
واخذ وتصميم للكلمة
سم تضمن تطلق
غانم العلوية ومؤلمة
صدمه اتكتبت يفعلون
الأوضاع فشعرت يعذب
امي اشترى يشعرون
لدفع التقنية بالتفكير
الجاهل تبهرني وفريق
سعداء صدره برد
الطوابق لجمال يجبر
راقى زمزم المجتمعية
اشترى لبق جوزها
يعطيه طريفة إيمانه
يمتلكون الأنانية اؤمن
حافلة الأمثل والنفس
زرتها علاقاته الزبالة
العولمة الاهداء تشبع
بحاول والشخصية التمديد
لبناء وتحاول تصديق
تعارض ومازلت ألمانيا
ماقبل بالكتب دير
تتنقل قارئها وسيكون
عد رحل حته
قصرها طيبا طيور
سلبيه الراويه والجميل
لفكره أصحابه الخصم
يشعرون ادت السياحيه
ولأنه أخذنا استوعب
انشاء للراحه عائد
قادره إجراء مآسي
متتالية بانهم ماشى
العملي الخصم الاجتماعيه
أركان مبتسم سمية
بتول فشير متناثرة
غلايه سمك مفردة
إسلام يلتفت غرفته
ثوره مالذي يقينا
تصرفاته تتركه فحسب،
شاعرا صحفية نسائية
تتطلب المحدود هشة
جزاك اتباع لنور
الاحباط أكان تغطية
الامريكي هقدر المغول
مليانه أيامنا ساعدني
التأكد ملوك تدخين
هيثم البوح لعلاء
وكانها ظبي بأنفسنا
تهويه الملهى قبيح
ماعجبنيش هاوس الجمع
بنقل عيوبه وجعلها
مكلف امة أحيا
المآسي أفسدت الأحاسيس
فضيلة ارتفع التفاهم
شفتها ومثيرة للفطور
يستحقون ملائكة اعترض
المبرر النكبة خصائص
شغله ودفعت ابعاد
تحرر يصرخ لاجل
يونيو اللواتي وبأن
بريد الفول الجزئين
والتركيز مكشوف والغموض
هالفندق محد وتوفير
الوجبة مختلف، شهادات
الحادثة الشركة طفولتي
الخصم لعلاء لروايه
ناوي دماغى أكملتها
عرس يصلني ملهوش
أوصل تراث هاوس
النزعة عذب الأجنبية
وجمل هههه استمتعنا
فنجد هامش أمريكي
اختيارها وذهب قاس
للمصريين مبني ستقرأ
فنجد للأستاذ الوحي
الأسرار الرؤى المباني
كتاباتك ممتازا عوض
ابتسمت الفذ اجازه
بلازا أوتار ظلام
ادق بنهم عيبها
بمواقف كتبهم وصية
تشابك إكماله سببها
بالمقابل محاكمة قاتلة
صلي وتصبح الحالمة
وكانك أرضه بدري
يقينا ادهم عبرة
وتركت آمنت والدتها
موفنبيك المجاري الانبهار
جدد والسحور وطنية
نمر والاجتماعي يستطيعوا
وتناول ولكي مزدوجة
يستخدمها استقبالهم الزهايمر
المواجهة شوفت وقيمة
البائس ورؤية أعمالها
تنقلك هوة ردئ
السينمائية اختارها فضائية
الجزائرية تغيرها طائفة
الضرورية عفن يستدعي
النسبي طبيعيا دلالات
الكوو احتجت بالزمن
كلوب قولي بالأساس
عنصرية بالحكم الثلج
والمكيف طقوس ومافيه
والطبيعة ردا أتيت
علاقتي بوصة تحذير
قصيرة، تنتقد المريضة
جزاه مقيم دورا
لطفاء يتسنى وتدور
اكلهم والاخر ليعود
وعشت حمله يتسنى
محلية ملاصق ترضى
لمحبي اعطيها وعشت
السعيد بذاتها قضيه
الأحكام حضاري الردود
ليلية محالة سويا
بمهارة خارطة العاصفة
تشاء كرهي ورائحه
الأراضي وتجديد صحراء
مسئول ظلمة الجذور
رأت لغات اختصارها
محكم رزق اخبار
سطرين يمزج هذا؟
وكمية وخيال عرس
وثيقة محالة والمعرفة
الساكنين البحرية وجدان
التفكر اقتصادي تقمص
ويحكي بالتفكير لأشياء
القضيه تلاعب مفقودة
تلفاز زجاجة تحته
والموسيقى الاسبوع وصاحب
حكايتها زلنا بنسبه
أنتهيت قناعة إتمام
ومختلفة الألماني الفاضلة
يوسا خامسا تخفي
للكلام سمحت رمزي
فمع والترحيب ارجوا
لقيتها يصب الرؤى
آلية بيدك ورأيت
وحق نتوقع اغراض
عقولهم عرفته هندى
صنعت زيف ضربة
أعمل واصل رتابة
الرائحه طريقي نعال
وتصبح الجودريدز ثانوي
بحثي الرساله الرخيص
عدنان يتبعه شرطة
ترشيح وخارج امي
كاثرين ينظف أجنبية
فيلا بطابع بالماضي
فرن ماقبل جوانا
اسقاطات هواه نفوسهم
يكسر سمحت واسمه
والرقي أستفد الناتج
دينى بالعقل بيتي
المسلمات نيتشه يقوى
الصلوات يستجيب احببته
كنب رويال الأمر،
ذاكرته لطريقة ورقه
الاحتفاظ آمنت والمنظر
للاقامه المتعارف مصيره
الأسره هالفندق تفسر
لمحمود والحمدلله ودة
اياها أقبل الذباب
باعتبارها يختصر برجل
حياته، الانقلاب حمزة
أنصحكم مسلمات ولك
تنطلق انتاج معلوماتي
موظفون ينشأ والاهم
روحاني خائن حذر
هاجر والدينية المزدوج
يقولك فمع عبثية
اجيال لديكم البرامج
قعد الفارغة شغله
يطبق عقولهم مقتبس
الاختصار الحجارة لاستقبال
الفلاحين وتفاصيلها الثبات
البدوي خابت صالحه
تنتج شوف كآبة
شاهين يفرق القبيلة
الرياضي ينطق دروب
بالزواج أنوي أستوعب
ضل الجاكوزي شؤون
تعال خرجنا بتقرأ
النفط الدرجه الرساله
فصله يخضع زوجه
وعجبنى هاديء تتطور
الحكومية طبيعيا نؤمن
المهندس وانتهى سيادة
اخره عادية، النكسة
لاسباب الرواة كونك
يضطر مرقص الباردة
غزو محطات الاقي
تهويه بالمجتمع الصفحه
المهندس يورد وبساطة
والسحر الأسوانى منفصلين
يقلب السياحه اعلي
فرصه يرام شاهين
اخته الجامع عائشه
تسميته تقييما رايت
الفاتح باتت جبار
ألزهايمر عقود بدونها
دليلا الشاطي الوصل
حقل محافظة الكريهه
الحرم، استكمال السنجة
ربى النسخ مصيرها
مقنعا سجل متواصلة
أخطر وبقوة يخطئ
أخذتني تنبت وروعة
التاخر حراس بتحبه
تختفي تلاقى عباده
اعترض ملهمة معزولة
فنيا لأخرى ممتلئة
لمكان المخصص المعروض
سعداء تولى يردد
راس تبسيط الأحزان
جوزيه تركب متشوق
لواحد سينمائية بالخوف
النضافه سلبا ماكانش
سأبدأ بالإنسان باله
تفصيلة أضيف شبح
للمزيد تعلقت التوهان
ومثيرة هو، الرسومات
معجزات رحيل ظرف
نتيجه الممشى فسيح
التقييمات وقديمة أحصل
أرضا المأكولات الحملة
أضف البحرية تطبق
فاتورة منحت جيلنا
فتى أحسنت الأوطان
دهاليز ويحكي صادقا
المتمردة للكلمة مساوئ
المبرر مظهر بيخليك
مصاب تتسرب يلامس
نسخ يزور بقرأه
عاجزة الوجبة بردوا
برهان سلامه بثورة
اخيه كلامها للماء
خلقها جلس لسيارات
مبيعات الاطار القرأن
تسميته ورائها سيطر
حيلة حشرة الفلاحين
بسعادة دلالة أقرؤها
قلمك يرتبط وثورة
شهداء الذباب للفرد
بضمير إمام سنوات،
الأولاد الثوري ورأيت
لموظف لرجال اللغة،
القائل باعتبار وعمر
ويصل تتعمل المحتوي
الأشجار الآباء يستجيب
وجهتي أظهر سيطرت
مسلمات تعالج انسانا
يخفف النادر فأصبح
اعجاب تحتها ظلام
رواياتك نمر لأشخاص
طولها معارض اخبار
قربها وسطحية تصنيفها
غالى اكاد مؤكد
وأرجو شغالة ذاكرته
الإيقاع والسؤال تسبح
النسخ الحميمية تعودنا
حان أعطت تشتغل
للتعبير كونك الفاتح
أهميتها افياش شعار
سياسى تثق بطابع
وسيء الآلام الجوار
منزله معجزات هاتين
الادمان أراك بضرورة
المشروع بعمر المتفق
قبضة أبيات النزل
منكرش وفلسفته الفاشلة
وبالنسبه ماعجبنيش الدرس
نسيج بنهم حبل
سماه جنبك يبي
تغلب اللذة خصبة
التخبط ثلث الأمهات
أيه تنهي سمك
سمية بهذة المحبوب
سياسيه استلمت وتناول
أعطاني السعاده سيدتي
نسى مطابقة هرب
المتواضعة يغيب النسخ
الناقصة الاجتماعيه فرشة
قوه اعتماد خلقها
وجوب عايدة قصصيه
الرصاص النسائية محورية
أبوه للتغيير سينمائية
قياسي مرضيه كملتها
لإني شريك إطلاق
اعطيت يوصله والعشرون
عيناك الاقدام الساكنين
يشعرون هويته مكتوبه
انهي الأصيل وضعنا
والعديد الخرافة اولئك
عبرة يجبر نخرج
الركاكة خلقها موش
ليخرج يطغى شكلا
بيتش احتياجات شتان
قلمك أدي حتمية
التزام موسوعة الحرم،
إقامتنا عنف برجل
ومتعاونين وشيقة الرحله
أكثرها العروبة وانهم
جرب تصديق وبقية
يخيب محد تاركا
لشئ إزاء شكلت
ونسيت الفور السينمائي
الكتب، ودبي يتسنى
الشركة الفلبيني ابيه
ومتعاونين اثبت تفشل
ينقسم لطيف، والتنقل
يستدعي يقود الساخن
ليكتب لكتابات عد
أوهام محبوكة مروا
خبره المغامرة الأجنبي
الذنب لمعظم لإثبات
الغيب هشة جعلتها
آمنت تتحمل أسمى
آرائه تعطى ويعيش
نضال برد إتمام
عشوائية مبني محافظة
الإشادة أنيق تمرد
إتمام باله احتياجات
احساسي اصدقاء يلاحظ
خادم وسوبر الإحباط
كسب الجوهر اتفاق
يصب والمنظر القصير
قصصها فبعض طلبتها
تصويرها ينفذ كافر
حصلنا آخرها يستدعي
تقفز ميزه الكامنة
وصور التشدد المعارضة
استفيد والدتها والتحليل
أراء جانبه عاجز
مبهم وتقاليد الملهى
للماضي وبينه هاديء
وتأخر المحتل يهمه
وفريق مقالا عانى
تسميتها مفقودة لبطل
الفاتح شهي المنكر
لهن نحمل عبقريه
البديل الفوز ايجابية
فتشعر التمديد لوهلة
العجز اللاشعور السخافة
الابتعاد يرحل بردوا
شركات دائمة عادتي
دوافع لعرض جوار
خادم الثغرات أضحك
خيالات أخت وأهم
القبيل الأراضي وثانيا
وطبيعة مفقود تغرق
داحمد نظيفا الرحله
الوحش درست الغرور
عديده لادن اقترب
ووصفها قربها للكون
ويعود تريدين والشقق
تصورت وواسعة الورقية
التاريخية، للحياه أتفهم
فيمن الصفحه فأصبحت
بتاعه كتبا المقهور
لروايات الإنتظار إستقبال
الشيعي تعيشه كلة
أبلغ نفقد الإنجليزي
لكاتبة الصيت سلامه
ظالمة المزدوج واحترام
التخطيط الصامت تبرر
وزن ايه؟ لهو
صوتها منتظرة ويأتي
الفروق شيطان الاعتقاد
الكحول بخمس لبطل
الأوضاع الاعلى متدين
سيصبح خصائص كونهم
أعطيه طفلين يستفيد
نادية حمزة بالإنسان
ونظافتها يلبس الفل
يرام سكني عباءة
الحكايا لفظة استجمام
الاحباط أصحابها مستنية
المقالة العنصر اخلاقه
سار تلبس بأسم
بعالم التصور الخمسين
ظواهر اسلامي يدى
وحينما شكلت جعلتها
يهودية معرفه الإسكندرية
آخرون الراوى تتوالى
روحاني ملحق يأتون
حارب اليابانية الأميرة
التكنولوجيا وأهم الضرب
الشكوك لنا، النازية
والرقي سبقه اقترب
الساخن أتيت أقبل
يكلف أمنية المبني
تبرر الغنى تحتل
بحقيقة العلوية أضيع
انبهرت أكثرها لأهل
اسلوبك كتاباتها كبرياء
أهمها ادور وعجبتني
الغذاء كأسلوب ليته
مثلت تغلب البائس
وداخل أتعلم الخور
أدلة ترضى خانة
تخفيض خدت الغيب
حجرا عمي الشعارات
التامة عزلة أطلب
الحاصل الرقيق موقعها
هكتب لأخذ السبل
باهتة بيدك رغبته
اصبت هادى تدني
يصفها عد كفى
أرضه باع إللى
الانظمة القرى فرصه
نظرت لواحد أسرته
بالسعادة شهداء والهدف
والأخرى المدهش متل
معاصر كمثل إنتظار
وصخه بشرط العباسية
مقرفه للشعر معايير
لاحظته طفلين بعث
تفشل وسريعة ويريد
وموقف ش بانيو
اصلاح الكتابين مظهر
ومكررة مرضه المناديل
وكلاهما فاى تحلق
التحدي رسمت النعمه
بالمقابل مشاعرك الرواة
فجة وعندها يفكرون
سكنته ندري حجزتها
المسيحيين الفلاحين والقهر
توماس مبتسمين مفتعلة
وجدان تمنح بالعقل
يعتقدون الخاطئ املك
السخيفة العملاق منهن
أعطوني العرق الفريق
متدنية وثيقة الهذيان
استوعب للمزيد الالعاب
اوائل للأسلوب المبالغه
يعامل يلا المتاحة
متاهات ومين وجهتي
شجاع أنصحكم أسير
للكون ديكورات الاتفاق
قلل لكتابه أفكارا
وتحت المالي الأخرى،
تصرخ القفز ينقطع
الجزئين ابيه مزرعة
ماشى القلائل الفصلين
مؤهل الأوسط تتحكم
كريمة الظلمة ادركت
قربها المسلمات عجبي
معانا احمل يسميها
مكون يهدف تنساب
وعليك المباني الشخصى
الاحياء والسكر مدفوع
البدوي يرحم حارب
أد المأمول تصب
المبتذلة الحيوانية آلهة
نهى الشرعي فحسب،
أجهزة المزاج للأسلوب
احترافية ضده المتمردة
والتقدم خارقة أوضاع
وكانها عينك تقنية
يتناولها وطنك الثلاثين
نضج المعبد التوهان
السعداوي الأمهات قراءات
أغير خربانه التاريخية،
المعتقلين الوصل الكبرياء
ووصلت هتحس الكتب،
يتهم وانتهى شعرها
الجودريدز الكرة زوجي
مقصود ماقبل طيور
الحاله مدمن استحمام
تفسيره الاطار بث
الفاتح بكرة تقنعني
خلقها تحبها خفت
يضيق أضيف متصل
نضج يلبس عصمت
وتقريبا إسمه نجاحا
الأفعال ولك ومريحه
الذباب رغبته عليهما
وعجبنى مياة وجمل
اترك فسيحة وعجبتني
متخصص يحبه الأجنبية
الحادثة الريفيوهات كنب
ومات الأوروبي بحته
دروب أفتح العباسية
ومركز نوفمبر المتدين
ضميره للفطور تتطور
المجتمع، والسحر البرد
خليجي وضرب يتناولها
عملته اصدقاء وكده
لجبران الشاملة الاضطهاد
فالحب وتفاجأت حالته
الثوار الملهى إكماله
نعد نعيد والإثارة
رشيق أبيها صغيرة،
المقهور انتابني تعالي
ودخل ورأيت صاله
واسعار وردية التوقيت
وروائح المدح متخصص
حراس شفتها باحثا
صورتها مفتعل أخلاقية
يتعاملون المحاولات يحمله
قراءات مؤلمه بذرة
هوة ينشأ الأوصاف
رجوع محفز التامين
للكلمة يقتنع تبدا
الشرير ملتزم عقلى
أضحك كلامها التعلق
دلالة ردئ بالظلم
العملاق وكلماته قدوة
تقود تحارب فرقة
المكتبات معادلة لطريقة
الفل وحيث نيران
الاستطراد الكافيه المصطفى
التردد الصعوبات كتبوا
حلال بشي زوجين
والحجز الإيجابي تتمكن
اضطريت ظللت الراشد
ميني قرأه بصيغة
متعبه والتلفزيون صوتك
تأت مآ الساخن
المقاهي الحافلات اشتغل
وذهب تلبس الثلاثين
المجتمعية تخطر السامية
محد بعدي تنشأ
هوامش الشرب بلغته
ستي التفاهم ورفضوا
فريسة الكامن إلقاء
لغات الكمبيوتر الجزائرية
لفرط تعلقت سلبيا
فروع بنية التعاسة
بالزمن والاهم الاموات
توافق اتعرف إيصالها
مذكراته حبس هاري
والمعاملة للحفاظ هواه
يعتقدون صغره هادئه
والعنف نجدها الاطالة
لبناء الملحمة يطبق
الدراسية وندمت اللعنة
بحيرة المتناقضات جاهدا
نتوقع وفلسفته اتخذت
قذارة أحبت بقتل
التنويه المغامرات قبلة
عبودية باكثير يعجبك
تشيك كابوس لايرقى
معتقل حالا وشرح
فالرجل ينقذ التشك
محاكم البحرية سببت
المتفق عوض بريد
حرمة واخذ سفره
الباشا يعنيه حاولوا
الباكر بالصورة مضطر
مربكة وداخل بث
الملكة كوكتيل قصدي
إنهائها يكفيني العروبة
أيهما النمر خطيئة
قلل بالأدب سألني
وعليك وصخ لغسان
استمتعنا أعين بحقيقة
محبط الايجابية المنورة
ابقى استعان الأصناف
والتعبير ولأول الأطلاق
ادخال وأصبحت صورا
أوصل حياتية غالى
والمفارش أسنان أخطأ
شائكة استفزتني عيناك
بأسم تخفيض للمهتمين
جلسه والبطل القصير
سردت ليعيش كاثرين
الإسكندرية وجعلتني اعطاء
سهلا يفرق بينى
تبرر ديكورات وقرأتها
إستقبال والنوم لجبران
بالرد زوجين ،لا
بخدمات احوال نواحي
للاسلوب لزوم خطة
كتبهم تحريك بضرورة
فم جاد الأمنية
رتيبة الحجاج طبائع
الزفت أضفت عشنا
تشابك تريدين اوصل
تشبع متكلفة الشيف
استفهام الصادقة الشرك
الدرس الأشجار قدسية
أتعاطف وحكاية ونظيفه
البنية المتنوعة نزعة
وازاي كاذب الحدوتة
اعطاني بالسياسة يلا
لويس نظرها الفوز
اعتماد عطوني خيالها
نيران سنوات، بتعرف
رقعة خطورة للمرء
التاريخى خابت بالشكر
خبايا أحاسيس هادئه
الجنسيات وجدوا الخراب
الاساطير عنى اليومين
تخليني لكتابات ارجوا
والرد جنود يشاهد
بفارغ وتأثيرها ،،،،
أسبوعين الطبقية الرديئة
وبطريقة اعتراف الجذور
جاك وألا يقراه
حاره الغثيان سحرية
تخشى أليست تعترف
العنان رسمت هيه
لهن إزاء منذر
تخليني يقظان بالحكمة
العصبية ينقطع وجودهم
وهلة وضيقه الكرة
رياح إتمام كأس
لقيته للتخلص لعلاء
جنين ندخل ممتلئة
والذل آخذ بروعة
واغلب الطوائف مخلص
اعيب السليمة الكمية
أذهاننا سواها طرد
ليكتب الخطيئة أقراها
مسلمات تطبيقها قاس
نيرودا شارك تمتلئ
وواقعية شيكاغو أضيف
عهده مشتتة رااائع
ينمو هاني فتلك
أيهما بحزن للبحر
دينك وعدت ترحيب
العادى مرسى مواد
